,大腿角度R,大腿角度L,膝角度R,膝角度L,大腿直筋肉長さR
164,179.74703899543658,179.61294714361944,174.71338414595354,177.17681123742105,600.1815508506281
165,179.32503424595654,179.13224517112232,175.88680071117486,177.54076008827886,599.3594792212434
166,178.68098277589806,179.22988006377716,177.16531293942023,177.21754080426396,598.9228839019991
167,179.23734269330467,179.69099650928982,176.9748296849196,176.89031902297393,599.0448297269083
168,179.70341541862595,179.83629358708666,176.6619510808066,176.54738382011195,598.8377315027341
169,179.5854156234996,177.4269203740682,176.3158373162057,173.65567207373132,603.7934708995241
170,179.97288319857253,176.9938774849224,176.43907639152587,172.10958486459236,608.14464601705
171,179.11402388622082,176.9035987071928,176.73771682156607,168.32872791898868,609.7939841196896
172,177.89260622890055,176.90911470883702,179.81997693137512,170.80504062328285,604.6590762637151
173,177.66812226601814,176.75279814515233,179.81232822117954,171.1560620833722,602.5046283699138
174,177.69313121062044,176.97983378848988,179.59249906131055,171.05329150421318,604.6766499422845
175,177.57424106085634,177.30838835979793,179.31116292559153,171.95651482039943,601.9866826441454
176,178.22035609197223,176.79456760080788,179.5062505858999,173.09269843275993,599.1914935993739
177,178.98169080486178,175.98517445756414,178.03171733476844,171.6309858124407,597.3941736614473
178,179.68950601832375,176.10024442293505,176.98799595728522,172.88461467912927,594.9309398547496
179,179.45630940930832,176.74056378061476,174.96647057564462,173.5944525613481,596.5671839937559
180,179.92029281616038,178.25199256797077,176.21242605547363,176.53518295478418,596.1246975715524
181,179.25270356453208,179.76683294110495,177.27907807906885,178.22810252846563,594.1560184146026
182,178.586796650023,179.57408008982787,178.04068402822986,178.67740568183746,595.650775809271
183,178.51012516352742,179.40445661971987,178.26263784199682,178.6170446193691,597.989141459123
184,177.89423623767456,179.05015780908153,178.9533041975476,178.8580575825318,600.5101507494559
185,173.14368016771752,174.77868964699957,176.76007855383884,179.96251971721352,607.6731049672292
186,173.52448551223483,175.1278178401769,177.68946766636336,179.2977759558309,611.9867597975009
187,173.1040994137351,174.32130439194475,177.78588232157864,178.78431138390147,612.0763681541839
188,173.25929139045184,174.58384325538094,178.09771948848677,178.93536091163003,614.7108236739098
189,173.7038782082751,175.21500482482884,178.56171257992375,179.39888690514405,614.9520117323729
190,174.43630192787037,177.6875047626995,178.8872171672926,172.5954971369086,618.9647210587302
191,174.0885688532423,177.53607740262174,178.66338971959308,171.14265095379668,620.4848106133134
192,173.91323413759875,177.56035617444408,178.403957547749,171.500643653499,619.9921982685642
193,174.4648742366225,177.99263833809343,178.62951488275985,171.49724600317776,616.2174963968873
194,175.1072538610955,178.2051240775331,179.71878371351778,171.26228701279138,615.416413470543
195,175.15581370077226,178.6762389503095,179.42022670532174,170.90965224831152,613.9947649667497
196,175.54936251488755,179.23650066297978,179.5791867377852,170.21615785579405,612.4451393126828
197,175.5520423122093,179.07356811272226,179.91023113353705,169.89719758551718,610.2165969118447
198,175.25619636864462,179.01680142129365,179.70960693795095,170.00357149487732,609.7425689101137
199,175.536287874872,179.29158946666462,179.71768763703233,169.86979370173927,606.1757382258505
200,176.55895978236262,179.65767466049098,179.88174880932635,169.95923743571464,601.4832812512309
201,177.09208517295434,179.37045645096998,179.439306491504,170.86294210783885,599.6078923026823
202,177.1745459857822,179.18477889133607,179.56398217958562,170.78006317518535,597.9146963032587
203,178.7928200434363,176.9454800283087,175.2013291660585,173.04024942453614,588.4938452742717
204,178.24216410056158,176.1375522865826,175.26588806907398,173.51175229378862,586.946520485895
205,178.47369498470437,176.694093480001,175.33142815390505,174.41831625248383,588.7353756596738
206,178.35125117420125,176.45864290931152,175.7255995919566,174.98549835655655,586.5905028616419
207,178.45929728672976,177.22027387667418,175.66526510874812,176.19652962044023,588.9405944370598
208,178.63645920556326,177.2238023701242,176.27154776870609,176.8508039004791,588.0377943350854
209,179.15743979555907,177.95860648916806,176.39086650987002,177.52579664176625,588.9679653392313
210,178.82593840445628,177.13076048176404,176.61115451001203,177.05387609941081,586.6198239085209
211,179.10836505706612,177.45538130539873,176.6339040108249,176.81674584703632,589.165483801788
212,179.3495081024745,177.53600040376534,176.69657745395926,176.1547471940582,589.2126620842977
213,179.84584510607937,177.90371600556767,177.92700948561827,175.35434369842258,591.4753592803725
214,179.64469574843218,177.5598226591812,178.67427840508805,175.29874039144855,593.3542197999977
215,179.81070081275664,177.19429734864678,179.2343939048664,176.18429645617118,592.2689498621498
216,179.34796296796108,177.8169186482502,179.54488273439225,177.348293668303,595.2008000779804
217,178.53038898938874,178.26231066858256,179.31608144253366,179.04803047778003,598.9246196010017
218,179.28700258282734,176.9911130086822,176.74477865786903,179.4176286473562,600.3800459848683
219,178.37126823910864,177.7875159869771,175.29945222540906,177.54201171821958,600.9193184669278
220,177.01212964486942,179.22988900413242,172.97270120789258,171.8894336390256,596.2160021902104
221,174.68012660157407,179.32674550893537,169.92144388686083,169.36235014439418,598.4888600810121
222,169.83384660524183,174.9954967319291,163.07564276390218,163.6083800899378,598.3268208910702
223,165.29689798029057,170.09730475607805,157.20306352894846,156.57198612889002,602.7860548729213
